epoch,train_loss,policy_loss,value_loss,top1_acc,top3_acc,val_loss,val_top1_acc,val_top3_acc,time_sec
1,4.324261724448827,4.18103692982079,0.4092137084626308,11.073607685317409,24.354147734648837,3.2146786009680413,13.684210526315791,28.30409356725146,52.12511992454529
2,3.02222757745765,2.957670556116112,0.18444863556562677,15.669219784499546,33.4674802025185,3.1606402531484066,12.748538011695906,28.771929824561404,52.285555362701416
3,2.862517889304006,2.8089404531540434,0.15307839326701106,18.590159678047513,38.063092301700635,3.145428365309427,14.619883040935672,33.21637426900585,53.9344220161438
4,2.6117725582344034,2.567870294477641,0.12543503975529532,25.87303647929378,48.03323380501104,3.201687826898374,17.076023391812868,33.567251461988306,59.48680400848389
5,2.2385451366561164,2.1997358351198537,0.11088372183435327,35.674412566532524,59.678047513955605,3.450702820144339,17.543859649122805,34.50292397660819,61.75454592704773
