episode,outcome,reward,turns,valid_move_rate,policy_loss,value_loss,total_loss,time_sec
1,DRAW,0.15000000000000002,60,100.0,0.00013567606220021844,0.026038149371743202,-0.0193347055464983,0.2003800868988037
2,DRAW,0.10000000000000005,60,100.0,-0.0019343058811500669,0.5813058018684387,0.2619301676750183,0.17953729629516602
3,DRAW,-0.15,60,100.0,0.16752482950687408,0.2633759379386902,0.28477585315704346,0.1759498119354248
4,DRAW,-0.45,60,100.0,-0.2923263609409332,0.025382833555340767,-0.29542645812034607,0.17659711837768555
5,DRAW,0.25000000000000006,60,100.0,-0.22485388815402985,0.5066683888435364,0.022074196487665176,0.17644810676574707
6,LOSS,-1.375,51,100.0,-0.023842453956604004,0.04085303843021393,-0.008630877360701561,0.14778590202331543
7,DRAW,-0.04999999999999996,60,100.0,-0.04489568620920181,0.2732445299625397,0.0868014544248581,0.17617392539978027
8,DRAW,0.24999999999999997,60,100.0,-0.00812375359237194,0.5447428822517395,0.25833526253700256,0.17612099647521973
9,DRAW,-0.14999999999999997,60,100.0,0.07499463111162186,0.038742680102586746,0.08955752104520798,0.17532110214233398
10,DRAW,-0.4000000000000001,60,100.0,0.3241821229457855,0.013102306984364986,0.32621321082115173,0.17629408836364746
11,DRAW,2.2551405187698492e-17,60,100.0,-0.08776182681322098,0.11934841424226761,-0.029323523864150047,0.1755537986755371
12,DRAW,0.6,60,100.0,-0.0813421905040741,0.02420203760266304,-0.07239752262830734,0.17561721801757812
13,DRAW,-0.09999999999999999,60,100.0,0.15650655329227448,0.14270518720149994,0.22511784732341766,0.17603206634521484
14,DRAW,0.25,60,100.0,0.05669764056801796,0.026743881404399872,0.06676805764436722,0.17548918724060059
15,DRAW,0.15000000000000005,60,100.0,-0.019652755931019783,0.01998758502304554,-0.01209338754415512,0.1754770278930664
16,DRAW,0.25,60,100.0,0.08163776993751526,0.03902802616357803,0.10003438591957092,0.1768648624420166
17,DRAW,-0.35000000000000003,60,100.0,0.03510274365544319,0.024374617263674736,0.04713674262166023,0.17526698112487793
18,DRAW,0.65,60,100.0,0.0035627661272883415,0.13256627321243286,0.06923947483301163,0.17514801025390625
19,DRAW,-0.15,60,100.0,-0.0001103832692024298,0.021824777126312256,0.010780622251331806,0.17733073234558105
20,DRAW,-0.20000000000000004,60,100.0,-0.07138263434171677,0.10526023805141449,-0.019495386630296707,0.17615294456481934
21,DRAW,0.15000000000000002,60,100.0,0.13879095017910004,0.050671763718128204,0.16111698746681213,0.17618513107299805
22,DRAW,0.5,60,100.0,0.10768305510282516,0.08322618901729584,0.1470434069633484,0.17646002769470215
23,DRAW,-0.55,60,100.0,0.0019641523249447346,0.5195568799972534,0.26118192076683044,0.17503094673156738
24,DRAW,-3.122502256758253e-17,60,100.0,0.023907294496893883,0.2219986766576767,0.13405749201774597,0.17580485343933105
