episode,outcome,reward,turns,valid_move_rate,policy_loss,value_loss,total_loss,time_sec
25,DRAW,-0.4,60,100.0,0.005568300373852253,0.15622735023498535,0.08337327837944031,0.1759321689605713
26,DRAW,1.0,60,100.0,-0.06016639620065689,0.2959354817867279,0.08574198186397552,0.1748039722442627
27,DRAW,-0.4,60,100.0,0.0016711592907086015,0.019794154912233353,0.011278652586042881,0.18742680549621582
28,DRAW,-0.10000000000000006,60,100.0,0.09519318491220474,0.06280244141817093,0.12485790997743607,0.17530274391174316
29,DRAW,-0.8,60,100.0,0.00011006964632542804,0.0052910312078893185,0.0027489233762025833,0.17512011528015137
30,DRAW,0.19999999999999998,60,100.0,-0.000529382610693574,0.1948193907737732,0.09637507796287537,0.17561697959899902
31,DRAW,-0.09999999999999999,60,100.0,-0.00022652550251223147,0.07279233634471893,0.03615941107273102,0.17531418800354004
32,DRAW,0.19999999999999998,60,100.0,-0.00979081355035305,0.09364938735961914,0.03444657474756241,0.17489385604858398
33,DRAW,-0.10000000000000003,60,100.0,0.20534297823905945,0.07915159314870834,0.24340808391571045,0.17547011375427246
34,DRAW,-0.20000000000000004,60,100.0,4.3822052248287946e-05,0.13701890408992767,0.06851283460855484,0.17496657371520996
35,DRAW,-0.15,60,100.0,-9.45645524552674e-07,0.1042938232421875,0.05214541405439377,0.17455506324768066
36,DRAW,0.2,60,100.0,0.09336516261100769,0.0360739566385746,0.11100861430168152,0.17566180229187012
37,DRAW,-0.35,60,100.0,0.01633467897772789,0.11886444687843323,0.07552805542945862,0.17482280731201172
38,DRAW,-0.25000000000000006,60,100.0,-0.010965573601424694,0.03186411410570145,0.00459578912705183,0.1742260456085205
39,DRAW,0.3,60,100.0,0.00024898353149183095,0.06688057631254196,0.033659011125564575,0.17609906196594238
40,DRAW,0.05,60,100.0,-0.0067769382148981094,0.06499069929122925,0.025327829644083977,0.17464303970336914
41,DRAW,-0.15,60,100.0,-0.024097081273794174,0.0061971270479261875,-0.021557705476880074,0.17464876174926758
42,DRAW,-0.20000000000000004,60,100.0,-0.003652693470939994,0.004871702753007412,-0.0013622918631881475,0.17502784729003906
43,DRAW,-0.6,60,100.0,7.274925883393735e-05,0.06519588828086853,0.032661549746990204,0.17397403717041016
44,DRAW,0.10000000000000002,60,100.0,-0.11611808836460114,0.026343083009123802,-0.10301116108894348,0.175339937210083
45,DRAW,0.25,60,100.0,0.02134890668094158,0.06463023275136948,0.05347711592912674,0.18294787406921387
46,DRAW,0.4,60,100.0,-8.34229213069193e-05,0.10081185400485992,0.05031055212020874,0.17406105995178223
47,DRAW,-0.2,60,100.0,-7.820664177415892e-05,0.00959404930472374,0.004704935941845179,0.1749129295349121
48,DRAW,-0.5,60,100.0,0.07884799689054489,0.054235029965639114,0.10461824387311935,0.17456269264221191
49,DRAW,-0.35,60,100.0,0.036513686180114746,0.0418538972735405,0.05597081407904625,0.1738429069519043
50,DRAW,-1.5612511283791264e-17,60,100.0,-0.0007547521963715553,0.07062474638223648,0.03450371325016022,0.1822829246520996
